id,stance
16293981,believer
998050646,denier
1057549473,believer
1130148844,believer
1165839628,denier
1213876111,believer
1245623701,believer
1314025746,neutral
1321469306,believer
1323568972,neutral
1392756111,neutral
1407626605,believer
1408871137,denier
1465979050,neutral
1565931614,neutral
1575993737,denier
1579208271,believer
1582145542,neutral
1591224937,denier
1627112612,believer
1668889346,neutral
1716422985,neutral
1840642607,neutral
1841201509,believer
1954195111,believer
1955648198,neutral
1983924313,believer
2156906327,neutral
2175929526,believer
2188721501,believer
2235430205,neutral
2249183563,believer
2253591040,believer
2342987054,neutral
2347465598,believer
2353357817,neutral
2358859757,neutral
2405115193,neutral
2426663842,believer
2448192363,believer
2514507688,believer
2588750800,neutral
2848474137,believer
2865086312,believer
2918290373,believer
3186421982,denier
3232030406,neutral
3385816406,believer
3436031194,neutral
3471215548,believer
3716004535,believer
3721834383,believer
3935600257,believer
4019971258,believer
4141627210,neutral
4171649254,neutral
4174708242,neutral
4176789294,believer
4303260595,neutral
4307818151,believer
4338438635,neutral
4345062089,believer
4397332436,believer
4421934045,believer
4493806111,believer
4496916496,believer
4534726098,believer
4628314111,neutral
4680669629,neutral
4704252934,neutral
4706740579,believer
4793641833,believer
4807743776,believer
4809198688,neutral
4884391529,neutral
4884507240,neutral
4887259228,believer
4915200192,believer
4919038685,believer
5012576338,neutral
5028653328,believer
5142144175,neutral
5155145395,believer
5179852753,neutral
5225025342,believer
5344624333,denier
5393300852,neutral
5493431938,neutral
5499870288,neutral
5502347518,believer
5556406108,believer
5692823146,neutral
5752669008,believer
5823933063,neutral
5854849573,believer
6035073495,neutral
6047585244,believer
6098655945,denier
6154901013,believer
6208966237,believer
6216852818,believer
6234588958,neutral
6266192529,neutral
6300347268,believer
6300810093,neutral
6303289512,believer
6308544277,believer
6319137001,neutral
6382448180,believer
6390444270,neutral
6399949140,denier
6417294847,neutral
6419073014,neutral
6421342229,neutral
6422461323,believer
6427648962,neutral
6435648756,believer
6441059805,believer
6448783800,believer
6464386634,denier
6469607971,believer
6473744829,neutral
6482821901,believer
6514302281,neutral
6515469787,neutral
6541137417,neutral
6543667759,believer
6546608073,believer
6556339199,believer
6565455294,neutral
6567580662,believer
6635384536,believer
6642566848,neutral
6691085394,neutral
6698293391,believer
6737789358,neutral
6796492625,neutral
6799430847,neutral
6826633744,believer
6865801486,believer
6896146118,neutral
6927185163,neutral
6968969934,believer
7017961755,neutral
7026672182,believer
7049920259,neutral
7088941873,believer
7091895861,neutral
7344672923,neutral
7372353578,believer
7394571884,denier
7527399082,neutral
7632340284,believer
7752043118,believer
7791895881,believer
7798826221,denier
7974992736,neutral
7977789264,denier
7999784318,neutral
8014179798,denier
8333218680,believer
8387803749,neutral
8515243738,denier
8560998789,believer
8574315817,neutral
8624931358,neutral
8694998503,denier
8700667969,denier
8791750218,believer
8850479521,believer
8870653002,neutral
8898280925,denier
8904721259,denier
8913980722,believer
8928683340,neutral
8969799994,believer
9077202006,neutral
9121079163,denier
9231184363,believer
9384424685,neutral
9490919867,believer
9650814559,believer
9699514795,believer
9746948332,neutral
9873875189,believer
9885239232,believer
9979099575,neutral
9992464417,neutral
10155576080,believer
10312843694,neutral
10443170247,neutral
10516899625,neutral
10539960136,neutral
10577185108,neutral
11078747587,neutral
11258737044,believer
11572575668,neutral
11738736573,neutral
12106750371,believer
12192412269,believer
12893144592,believer
12998587679,believer
13090594619,believer
13355978654,believer
13482177856,believer
13564860861,denier
13708794142,neutral
13809823929,believer
13871491868,neutral
13898548889,neutral
14063887283,denier
14161243218,neutral
14198208061,neutral
14352834306,believer
14367763158,neutral
14623549706,neutral
14863028508,neutral
15063096724,believer
15150316927,neutral
15399397611,believer
15412022483,believer
15659575310,believer
15690336013,neutral
15834725275,believer
16207087343,believer
16214462796,believer
16327869605,believer
16995881218,denier
17138943403,denier
17172871166,believer
17232419179,believer
17373063472,neutral
17549958201,believer
17792812070,neutral
18055376786,believer
18098605907,believer
18321046200,believer
18432270951,believer
18462587504,believer
18619358073,denier
18681442759,believer
18751841478,neutral
18901933165,neutral
19215438800,believer
19224236292,believer
19385579845,believer
19635004303,neutral
19640392846,believer
19765888086,believer
19875257563,neutral
20237567747,neutral
20252225785,believer
21521220413,denier
21953373026,neutral
22035220117,neutral
22132056977,neutral
22812541523,believer
23876549000,believer
23990246623,believer
24917777361,neutral
25117918315,believer
25451492543,believer
25611060340,neutral
26015791397,denier
26116367244,neutral
27686934754,believer
27881780047,neutral
4280639385772032,neutral
5451200661037056,believer
6752620106481664,neutral
8999443256844288,neutral
9114794669899776,neutral
9306204174028800,believer
12725711483707392,denier
13508189404270592,neutral
14574612109074432,believer
15163530407845888,believer
15372679888502784,believer
16876418763853824,neutral
19322191690600448,neutral
20586673632972800,believer
23632448633970688,believer
23778102169575424,neutral
24966785912541184,believer
25699360868143104,believer
30122668749496320,believer
30301818537906176,neutral
33427808915034112,believer
38703038847778816,believer
39376260442361856,believer
39848885983649792,neutral
40051380316155904,believer
40656862642843648,neutral
41975478235574272,denier
46334217784786944,neutral
47362146010542080,believer
50616448862785536,neutral
52796744383205376,neutral
53461918068899840,neutral
54683180384526336,neutral
61283561608720384,believer
62202155767037952,believer
64172837660921856,believer
67278794456702976,neutral
73395555652468736,neutral
75733175699124224,neutral
79231924756942848,believer
79265368228634624,believer
80690044490358784,neutral
80881086938365952,neutral
81300985200390144,denier
81697660389687296,denier
81838180617293824,neutral
82011059774423040,neutral
84645314790830080,neutral
85656127869698048,neutral
86623598772617216,neutral
89559735946321920,neutral
90614357486084096,believer
91982635596910592,believer
95537072135356416,neutral
96798852153212928,neutral
97530798391050240,neutral
98496669552873472,believer
102198833429221376,believer
102648736374726656,neutral
108974016924102656,denier
110886510370357248,neutral
115905577175097344,believer
116100840854519808,believer
117837259922870272,neutral
118125703765045248,neutral
118542386220646400,denier
118931660191432704,neutral
122100684161167360,neutral
124034094509203456,neutral
127396966702399488,believer
127515814592118784,denier
